url	title	author	publish_time	comment_count	digg_count	collect_count
https://www.douyin.com/video/7336293063997820194	职业背债人骗局揭秘#职业背债人 #无不良引导	胡说峰老湿	2024-02-17 04:09:13	474	1964	479
https://www.douyin.com/video/7360877977623612683	男子做职业背债人中介，帮助批贷1个亿，获利5百万，有什么法律风险吗？#贷款 #职业背债 #贷款诈骗罪 #法律咨询 #抖来普法2024	蓝江律师	2024-04-23 10:06:09	4624	35463	5473
https://www.douyin.com/video/7315006561439534375	警惕，不要上当！不要毁了你的一切可能！ #职业背债人应该引起重视 #背债人	龙曜资产	2023-12-22 19:30:00	1248	10751	1676
https://www.douyin.com/video/7328016984585571621	职业背债人这个新型骗局，竟然比缅北诈骗还恐怖#新型骗局  #重庆房产 #重庆法拍房	当然聊法拍	2024-01-25 20:48:36	2701	25026	9513
https://www.douyin.com/video/7292066205421063462	那些背债的人后来怎么样了？中介收50万很惶恐！ #丁哥说法	丁哥说法	2023-10-20 23:42:06	643	2566	559
https://www.douyin.com/video/7300591189571472691	背债人生意 套路解析 防骗指南#财经 #金融 #认知 #商业思维 #沉心观世界	沉心观世界	2023-11-12 23:02:35	177	3777	765
https://www.douyin.com/video/7346528592844705043	你以为别人好心请你吃饭，实际上，你才是桌上的晚餐 #债务	璐哥看透彻	2024-03-15 18:03:43	148	95201	19336
https://www.douyin.com/video/7299643885700042020	人性本贪，人性本懒，人性本恶#背债人的生活 #行业揭秘	比尔盖南	2023-11-10 09:46:40	8829	188619	42248
https://www.douyin.com/video/7265696106221161782	背债中介那么多，你到底该信哪一个？生活很美好，不去背债行不行？#背债人 #揭秘 #大实话	@刘俊	2023-08-10 22:11:48	1743	3443	447
https://www.douyin.com/video/7317510668066868531	职业背债人，套路骗术细节解析  #金融小知识  #职业背债人  #防骗指南  #传播正能量 	超公子说财商	2023-12-28 13:18:57	154	602	305
https://www.douyin.com/video/7395083228853390630	职业背债人 职业背债人#股权  #认知  #人性	股权设计室	2024-07-24 19:00:00	892	2831	810
https://www.douyin.com/video/7381132247975333183	揭秘职业背债人行业内幕#揭秘 #背债人 #商业思维 #认知 #干货分享	dada商业说(IP陪跑)	2024-06-17 10:00:00	209	5947	2335
https://www.douyin.com/video/7279006217693924660	三个月能挣五百万？今天揭秘一下”职业背债人“#揭秘骗局 #商业思维 #职业背债人	洋哥说事儿	2023-09-15 19:02:06	1217	2293	617
https://www.douyin.com/video/7322025931181215028	背债人是什么意思？巨大风险你知道吗？#背债人 #抖来学法 #认知 #行业大揭秘	陈教主（重生日记）	2024-01-09 17:20:22	453	925	281
https://www.douyin.com/video/7325630145614613795	谁在做背债人？迷人外表下有哪些风险？职业背债人骗局详解 #职业背债人 #职业背债人应该引起重视	镜相工作室	2024-01-19 10:27:01	75	4246	433
https://www.douyin.com/video/7233343436978408759	背债到底能不能做？我从背债人和背债从业人员两个放面聊聊 #银行贷款 #背债人 #长沙贷款	长沙老阳说金融	2023-05-15 17:46:56	499	1864	428
https://www.douyin.com/video/7246713891449769251	职业背债人啥也不做，三个月轻松到手500万#重庆法拍房 #重庆房产 #不良资产处置	重庆法拍房枫枫	2023-06-20 18:31:03	7490	40322	8310
https://www.douyin.com/video/7372489107458493706	什么是职业背债人，又名代持人 #买房 #重庆房产	小郑说房(直播号)	2024-05-24 17:03:13	146	1759	265
https://www.douyin.com/video/7372083191101902130	警惕职业背债套路#贷款 #负债 #吴先生金融说	吴先生金融说	2024-05-23 15:08:07	4921	3354	535
https://www.douyin.com/video/7368060261762141477	出现新骗局，背债人，记得转发给你朋友，不要上当受骗！#昆明同城 #昆明房产 #一个敢说真话的房产 #避坑指南 #昆明楼市	昆明阿鹏说房	2024-05-12 18:37:02	774	7917	4156
https://www.douyin.com/video/7358811581435710770	大🔥觉得值得吗？#内容过于真实 #负债 #征信	陈小五	2024-04-17 20:27:24	751	1538	265
https://www.douyin.com/video/7323792483324857652	最近很火的新骗局，3月到手50万？@国家反诈中心 #新骗局又来了大家注意防范 #金融	起哥的车库	2024-01-14 11:35:28	2305	24720	2628
https://www.douyin.com/video/7307947913026555170	竟然还有这个职业，给你多少钱你会干？#职业背债人 #揭秘 #背债人 #震惊三观	闯业居居	2023-12-02 18:50:32	551	3137	961
https://www.douyin.com/video/7394440301156240652	#成都 #知识分享	小敏信息咨询工作室	2024-07-22 20:45:01	180	311	30
https://www.douyin.com/video/7368777960117013775	德阳 出现了新骗局背债人！#德阳 #一个敢说真话的房产人 #抖音房产	德阳老肖说房	2024-05-14 17:02:05	243	2791	923
https://www.douyin.com/video/7339580105154530600	重庆新骗局太恐怖了，月入百万你能把持住吗？#重庆 #骗局 #贷款 #职业背债人	赵震惊	2024-02-26 11:30:00	9016	52229	9111
https://www.douyin.com/video/7234864057231199546	背债弥天大骗局，谨防！快转发给你最亲的人。#骗局揭秘 #背债 #诈骗防范	瀚中	2023-05-19 20:07:42	9087	2836	547
https://www.douyin.com/video/7376561349914004746	当老赵碰上“背债人”，白白扔了30万，哈哈！#郑州金融服务老赵 #郑州 #郑州助贷 #郑州同城 #财经	郑州老赵-企业咨询	2024-06-04 16:25:36	165	1019	130
https://www.douyin.com/video/7383263639219735808	一种神秘人群：职业背债人！大家小心避免上当！#背债人 #金融常识 #万万想不到	琦说金融	2024-06-22 17:53:58	2552	6877	1008
https://www.douyin.com/video/7373578695363087627	警惕职业背债人，一个比缅北诈骗更恐怖的行业！ #法律咨询 #北京刑事律师 #刑事辩护	北京律师老刘	2024-05-31 18:10:00	470	6666	3205
https://www.douyin.com/video/7198159840496160055	一个视频讲清“背债贷款”，法律风险是什么？代价是什么？#法律科普 	葛萌律师	2023-02-09 22:16:48	3903	5189	2265
https://www.douyin.com/video/7329325148819950859	上海警方披露一起涉案6000万元的房贷诈骗案，黄牛以利诱揽“背债人”承诺“1个月到手百万”“3到6个月，到手500万”，有人背负数百万贷款被中介一脚踢开，有人被骗取个人信息，进行违法犯罪活动	新京报	2024-01-29 09:25:18	5394	15685	3149
https://www.douyin.com/video/7342088926644997426	银行内幕你知道吗#银行 #银行那些事 #银行内幕 #银行贷款 #背债人	大成聊金融（不良资产）	2024-03-03 18:55:02	644	8375	1798
https://www.douyin.com/video/7367941712771108147	职业背债人，背1000万，到手600万，会判多久 #背债人 #刑事律师 #深圳律师	深圳李凯律师刑事法律在线咨询	2024-05-13 17:30:00	1839	8942	912
